text,intent
urgent wrong bill in miglamin.,bill_dispute
please view balance.,check_bill
muddy water in mapayag!!!,contaminated_water
noise complaint please!!!,unrelated_general
message support in san jose now...,reach_admin
how much is my bill in barangay 6 unacceptable.,check_bill
leak in caburacanan!!!,report_leak
urgent stuck meter in barangay 1...,broken_meter
trash not picked up in barangay 9 asap!!!,unrelated_garbage
now emergency shutoff in sinanglanan!!!,emergency_shutoff
repair line in zamboanguita unacceptable.,request_maintenance
aqua help help!?,greeting
flood in mapulo urgent!!!,emergency_shutoff
hi in poblacion.,greeting
unclear water!!!,contaminated_water
good day in caburacanan?,greeting
payment centers in manalog...,payment_inquiry
good morning urgent...,greeting
no wifi urgent?,unrelated_internet
talk to admin in barangay 6!,reach_admin
please new connection?,request_maintenance
unacceptable broken pipe in indalasa.,report_leak
apply for water in st. peter...,request_maintenance
massive leak emergency in barangay 8?,emergency_shutoff
now stop water in barangay 10...,emergency_shutoff
urgent meter issues in caburacanan,broken_meter
now flood in barangay 1!,emergency_shutoff
check connection in magsaysay.,request_maintenance
smelly water in barangay 4!!!,contaminated_water
massive leak emergency please!,emergency_shutoff
unacceptable smelly garbage in barangay 1?,unrelated_garbage
good day disappointed?,greeting
now check my bill!!!,check_bill
smelly water in barangay 7?,contaminated_water
no water in aglayan help!!,no_supply
meter stolen asap!!!,broken_meter
now water waste.,report_leak
stray dogs in san jose!,unrelated_general
aqua help disappointed...,greeting
i want to eat.,unrelated_general
broken meter in miglamin,broken_meter
gcash payment help!!!!,payment_inquiry
please gcash payment!!!,payment_inquiry
incorrect reading asap,bill_dispute
potholes in barangay 7...,unrelated_road
meter issues in miglamin?,broken_meter
smelly garbage in manalog!,unrelated_garbage
asap low pressure.,low_pressure
help please in barangay 6?,reach_admin
stuck meter in busdi help!...,broken_meter
complaint about bill in barangay 1,bill_dispute
waste management in barangay 9?,unrelated_garbage
urgent traffic issue?,unrelated_road
please wrong bill!,bill_dispute
message support,reach_admin
high bill in linabo!!!,bill_dispute
good day,greeting
please traffic issue in caburacanan.,unrelated_road
now i want to eat in bangcud!,unrelated_general
speak with someone in caburacanan?,reach_admin
request maintenance in maligaya asap!,request_maintenance
heavy traffic in kulaman...,unrelated_road
message support now.,reach_admin
leak asap!,report_leak
help! flood in mapayag?,emergency_shutoff
payment centers in aglayan now!,payment_inquiry
how to apply for a loan in barangay 8,unrelated_general
no water unacceptable,no_supply
disappointed hello in miglamin!,greeting
customer service in poblacion.,reach_admin
weak flow!,low_pressure
heavy traffic in magsaysay...,unrelated_road
disappointed i want to eat!,unrelated_general
where to pay in maligaya urgent!!!,payment_inquiry
unacceptable muddy water!!!,contaminated_water
road repair in barangay 9...,unrelated_road
brown water please...,contaminated_water
massive leak emergency in sumpong!,emergency_shutoff
stop water in can-ayan!!!,emergency_shutoff
overcharged!,bill_dispute
meter issues help!...,broken_meter
stop water in manalog...,emergency_shutoff
please globe is down in barangay 2?,unrelated_internet
asap stray dogs!,unrelated_general
good morning in aglayan urgent!,greeting
i want to eat in managok.,unrelated_general
check connection urgent.,request_maintenance
unclear water in barangay 2?,contaminated_water
urgent close valve in laguitas!!!,emergency_shutoff
how to apply for a loan in silae unacceptable...,unrelated_general
new connection in barangay 10.,request_maintenance
request maintenance,request_maintenance
no power in aglayan!,unrelated_electricity
massive leak emergency in barangay 11 disappointed!!!,emergency_shutoff
defective water meter disappointed...,broken_meter
payment due in barangay 11 now?,check_bill
unacceptable hello!,greeting
speak with someone unacceptable,reach_admin
check connection in barangay 1 unacceptable,request_maintenance
street lights not working in zamboanguita?,unrelated_road
speak with someone please!,reach_admin
new connection in san jose asap!!!,request_maintenance
weak water in can-ayan?,low_pressure
customer service in miglamin!,reach_admin
disappointed smelly water in st. peter...,contaminated_water
water cut!!!,no_supply
disappointed stuck meter!,broken_meter
garbage collection in barangay 6 disappointed!,unrelated_garbage
water gushing in caburacanan urgent...,report_leak
why no water in silae urgent!!!,no_supply
please no wifi?,unrelated_internet
asap potholes in san jose!!!,unrelated_road
where to pay in can-ayan!,payment_inquiry
asap meter issues in manalog!!!,broken_meter
high bill in sinalac help!,bill_dispute
repair line in miglamin!!!,request_maintenance
meter issues in barangay 11...,broken_meter
no electricity in barangay 2 unacceptable!!!,unrelated_electricity
new connection!,request_maintenance
interruption,no_supply
disappointed heavy traffic in miglamin,unrelated_road
hardly any water in mapayag?,low_pressure
meter issues in aglayan!!!,broken_meter
good day!,greeting
now stray dogs in caburacanan,unrelated_general
how much is my bill.,check_bill
brownout in maligaya,unrelated_electricity
massive leak emergency in barangay 4.,emergency_shutoff
broken meter in manalog disappointed.,broken_meter
customer service in miglamin!,reach_admin
disappointed repair line in barangay 10!,request_maintenance
urgent view balance in barangay 11.,check_bill
broken pipe in kulaman?,report_leak
noise complaint urgent...,unrelated_general
how to apply for a loan in capitan angel urgent?,unrelated_general
payment due...,check_bill
disappointed payment centers.,payment_inquiry
stuck meter in kibalabag!,broken_meter
weak flow,low_pressure
no electricity disappointed...,unrelated_electricity
close valve urgent?,emergency_shutoff
how much is my bill please!!!,check_bill
speak with someone now!,reach_admin
asap where is the hospital...,unrelated_general
disappointed low pressure in barangay 4!!!,low_pressure
i want to eat now...,unrelated_general
good morning,greeting
high bill?,bill_dispute
disappointed water gushing in aglayan?,report_leak
no signal in sinalac urgent.,unrelated_internet
good morning.,greeting
asap fibeco issue!!!,unrelated_electricity
disappointed high bill in indalasa!!!,bill_dispute
check connection in sumpong!,request_maintenance
how to pay in linabo...,payment_inquiry
urgent unclear water,contaminated_water
traffic issue in caburacanan please...,unrelated_road
help please help!?,reach_admin
waterless!,no_supply
high bill!!!,bill_dispute
fibeco issue...,unrelated_electricity
how to pay in barangay 11.,payment_inquiry
muddy water in managok.,contaminated_water
unacceptable high bill.,bill_dispute
now burst pipe in miglamin!,report_leak
fibeco issue in linabo!,unrelated_electricity
asap how to apply for a loan in kibalabag.,unrelated_general
globe is down!!!,unrelated_internet
water cut in manalog asap?,no_supply
where is the hospital in st. peter,unrelated_general
good day...,greeting
overcharged?,bill_dispute
now meter issues?,broken_meter
burst pipe?,report_leak
lagging internet!,unrelated_internet
asap brown water in cabangahan,contaminated_water
stuck meter in casisang!!!,broken_meter
payment centers now?,payment_inquiry
slow connection in barangay 1 unacceptable!,unrelated_internet
complaint about bill in barangay 9 disappointed.,bill_dispute
hi...,greeting
broken road in casisang!!!,unrelated_road
pizza delivery in magsaysay!,unrelated_general
gcash payment in busdi asap,payment_inquiry
